Cell,Cycle,Discharge_Capacity_mAh,SOH,Mean_Voltage_V,Min_Voltage_V,Max_Voltage_V,Std_Voltage_V,Mean_Temp_C,Max_Temp_C,Discharge_Duration_hr,Energy_Wh,EOL_Cycle,RUL,Voltage_Drop_Rate,Capacity_Fade_Pct,Internal_Resist_Proxy,EOL_Class
Cell1,0,739.1109210621779,99.8798541975916,3.7350762212583146,2.6998193,4.1912351,0.2453883357600442,40.41933992433481,41.174809,0.0417399322614073,2.7608454010536603,8200,8200,35.73029444239147,0.12014580240840189,0.6164309172184939,0
Cell1,100,730.1929494056872,98.67472289266044,3.7356805096774193,2.6998594,4.1926785,0.2449379542464282,40.32711510434782,41.124866,0.0412447227863594,2.727949260377376,8200,8100,36.193306824379356,1.3252771073395593,0.6175648517872718,0
Cell1,200,725.7467375962049,98.0738834589466,3.736424317212189,2.7000198,4.1929593,0.2444333473553329,40.3272975846501,41.1124,0.0409969992469996,2.7119556599527552,8200,8000,36.414935543696295,1.9261165410534034,0.6169391659294745,0
Cell1,300,722.8431973239306,97.6815131518825,3.736473817903683,2.6999636,4.192502,0.2438919794417741,40.32204489546742,41.124866,0.0408340713474899,2.701133331546581,8200,7900,36.55040509906555,2.3184868481175016,0.6162543001301581,0
Cell1,400,718.3668958430143,97.07660754635327,3.7376955802965495,2.7001641,4.1927824,0.2427472093769365,40.31472582321072,41.124866,0.0405774272512644,2.6851345731661613,8200,7800,36.78354241670346,2.923392453646727,0.6149821887884461,0
Cell1,500,714.9787006955092,96.61874333723098,3.738026414981381,2.6998432,4.1929832,0.2423992122579503,40.334303672300194,41.124866,0.040390201495029,2.6727501791195025,8200,7700,36.96696173258828,3.381256662769019,0.6148064662413766,0
Cell1,600,711.6204053941345,96.16491964785602,3.738322718618705,2.6999636,4.1929431,0.2418621813790116,40.30517850503597,41.087425,0.0402071855496615,2.6603619391426845,8200,7600,37.13123284700344,3.835080352143976,0.6143518667314795,0
Cell1,700,709.5321170323996,95.88271851789185,3.738288945151954,2.7002044,4.1923819,0.2414619845741225,40.36040864196815,41.174809,0.0399721638532355,2.6525758764311664,8200,7500,37.329481986430764,4.1172814821081545,0.6136391281730353,0
Cell1,800,705.8480111354505,95.38486636965548,3.738883878062264,2.7002444,4.1927028,0.2409951970047458,40.378438329938895,41.174809,0.0397640323499217,2.6392316569202903,8200,7400,37.53192973330849,4.615133630344516,0.613268813429373,0
Cell1,900,702.5449768529222,94.93851038553002,3.7392403858520895,2.700084,4.1927428,0.2404463248957444,40.38455092692195,41.212246,0.0395796331577003,2.627119555564413,8200,7300,37.711847459661165,5.061489614469977,0.6128411001998796,0
Cell1,1000,699.4156477527364,94.5156280746941,3.739524627128597,2.6999238,4.1925821,0.2399665600022667,40.36335875513799,41.174809,0.0394058881793171,2.6156172773703066,8200,7200,37.87810631501294,5.484371925305894,0.6122398282045989,0
Cell1,1100,696.2835912151658,94.09237719123864,3.739851762518431,2.6998034,4.192502,0.2396157331768884,40.43320337776467,41.262188,0.0392295748461037,2.604184823993977,8200,7100,38.04936853093938,5.90762280876136,0.6116895101102288,0
Cell1,1200,693.2672854322545,93.68476830165602,3.7402309427428913,2.6999238,4.192462,0.2388576745032626,40.39325026984597,41.212246,0.0390602701809257,2.5930851983305407,8200,7000,38.21018090519832,6.315231698343979,0.6111230503474442,0
Cell1,1300,690.3687943593548,93.29308031883173,3.7403440400654375,2.7000439,4.1925821,0.2384749289870173,40.39081635336109,41.187275,0.0388964681187644,2.5823526895527604,8200,6900,38.37108871566861,6.706919681168273,0.6111325134250846,0
